,electrode,frequencies,group,psd,state,subj
0,Oz,0.9990243902439024,novice,17.768980999623345,VD,02
1,Oz,1.4985365853658537,novice,17.155143254427777,VD,02
2,Oz,1.9980487804878049,novice,17.420304890450247,VD,02
3,Oz,2.497560975609756,novice,17.187234632799104,VD,02
4,Oz,2.9970731707317073,novice,15.822234250827329,VD,02
5,Oz,3.4965853658536585,novice,14.965899912092828,VD,02
6,Oz,3.9960975609756098,novice,14.39658417319157,VD,02
7,Oz,4.495609756097561,novice,13.881885737364552,VD,02
8,Oz,4.995121951219512,novice,13.333828450306138,VD,02
9,Oz,5.494634146341463,novice,12.95427062180142,VD,02
10,Oz,5.994146341463415,novice,12.634075923065144,VD,02
11,Oz,6.493658536585366,novice,12.60087808694805,VD,02
12,Oz,6.993170731707317,novice,12.552574507906222,VD,02
13,Oz,7.492682926829268,novice,12.843215381005233,VD,02
14,Oz,7.9921951219512195,novice,13.355909878680967,VD,02
15,Oz,8.491707317073171,novice,14.169345830985897,VD,02
16,Oz,8.991219512195123,novice,14.978570965211686,VD,02
17,Oz,9.490731707317073,novice,15.558736643060811,VD,02
18,Oz,9.990243902439024,novice,15.751988775598441,VD,02
19,Oz,10.489756097560976,novice,15.748159667640792,VD,02
20,Oz,10.989268292682926,novice,15.687745886189026,VD,02
21,Oz,11.488780487804878,novice,15.420421937485216,VD,02
22,Oz,11.98829268292683,novice,14.800218847989159,VD,02
23,Oz,12.487804878048781,novice,13.796088148064001,VD,02
24,Oz,12.987317073170733,novice,12.490104336364613,VD,02
25,Oz,13.486829268292682,novice,11.284578979996125,VD,02
26,Oz,13.986341463414634,novice,10.399871839292414,VD,02
27,Oz,14.485853658536586,novice,9.757515037837232,VD,02
28,Oz,14.985365853658536,novice,9.00113484977098,VD,02
29,Oz,15.484878048780487,novice,8.514163345455277,VD,02
30,Oz,15.984390243902439,novice,8.205899581013899,VD,02
31,Oz,16.48390243902439,novice,7.912740308936737,VD,02
32,Oz,16.983414634146342,novice,7.482673779135787,VD,02
33,Oz,17.482926829268294,novice,7.308406126081738,VD,02
